# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
0	0.08377556	1.2427668e-05	-0.65506643	-0.65591747	-8e-06
1.0046651094598054e-11	0.08377935	6.792426e-05	-0.65505725	-0.65590847	-8e-06
2.0040868536790373e-11	0.08378643	0.00012016053	-0.6550336	-0.6558846	-8e-06
3.0000458943547424e-11	0.08379049	0.00016921267	-0.6549957	-0.6558468	-8e-06
4.002600709490721e-11	0.08378837	0.00021662602	-0.65494376	-0.65579474	-8e-06
5.0003607022726396e-11	0.0837831	0.0002638673	-0.6548783	-0.65572923	-8e-06
6.003465803021228e-11	0.083779864	0.0003124107	-0.65479916	-0.65565	-8e-06
7.004327883003964e-11	0.08378158	0.00036127944	-0.65470713	-0.65555793	-8e-06
8.000632210989079e-11	0.08378658	0.00040839365	-0.65460265	-0.65545344	-8e-06
9.002707026336969e-11	0.08379082	0.0004527485	-0.65448517	-0.6553358	-8e-06
1.0004468242441018e-10	0.08379147	0.0004943598	-0.65435547	-0.655206	-8e-06
1.1000568100470795e-10	0.08378928	0.0005348059	-0.6542147	-0.65506506	-8e-06
1.2002127831770735e-10	0.08378722	0.0005762707	-0.6540613	-0.6549117	-8e-06
1.3003836656842544e-10	0.08378778	0.00061861664	-0.6538965	-0.6547468	-8e-06
1.4000247375690865e-10	0.08379094	0.0006602079	-0.6537216	-0.65457165	-8e-06
1.5001845723651575e-10	0.08379471	0.00069973746	-0.65353465	-0.6543846	-8e-06
1.6003431105728068e-10	0.083796985	0.00073665567	-0.6533372	-0.65418696	-8e-06
1.7005016643614564e-10	0.083797276	0.00077211123	-0.6531293	-0.6539788	-8e-06
1.8001303109955856e-10	0.08379681	0.0008074334	-0.6529123	-0.65376174	-8e-06
1.9002864358299164e-10	0.08379717	0.0008436492	-0.6526844	-0.6535336	-8e-06
2.0004436176464296e-10	0.083799206	0.00087982527	-0.65244657	-0.65329564	-8e-06
2.100074760516579e-10	0.08380231	0.0009144223	-0.65220064	-0.6530496	-8e-06
2.2001933404868056e-10	0.08380527	0.0009471355	-0.6519443	-0.65279293	-8e-06
2.300290157321253e-10	0.08380722	0.0009782547	-0.651679	-0.65252745	-8e-06
2.4003873377214145e-10	0.08380822	0.0010088311	-0.6514048	-0.65225303	-8e-06
2.5004866627426023e-10	0.08380909	0.0010396005	-0.65112203	-0.6519701	-8e-06
2.6000607562238895e-10	0.083810695	0.0010702721	-0.65083253	-0.6516803	-8e-06
2.7001633440438837e-10	0.0838133	0.0011003838	-0.6505332	-0.6513807	-8e-06
2.800266840058509e-10	0.0838164	0.001129111	-0.650226	-0.6510732	-8e-06
2.9003706347354284e-10	0.083819225	0.0011564223	-0.6499109	-0.6507579	-8e-06
3.000474882866334e-10	0.08382136	0.0011828608	-0.64958835	-0.65043503	-8e-06
3.1000517953969817e-10	0.08382299	0.0012088809	-0.64926004	-0.65010655	-8e-06
3.200155448131586e-10	0.08382478	0.0012349585	-0.64892286	-0.649769	-8e-06
3.3002588673975084e-10	0.083827175	0.0012606744	-0.64857864	-0.64942455	-8e-06
3.400362544039192e-10	0.083830185	0.0012855566	-0.6482277	-0.64907324	-8e-06
3.5004665788322693e-10	0.08383334	0.0013093639	-0.64787	-0.6487152	-8e-06
3.600043751078284e-10	0.08383616	0.0013321267	-0.6475077	-0.6483526	-8e-06
3.7001471595386954e-10	0.08383857	0.0013544465	-0.6471373	-0.6479818	-8e-06
3.800249207179356e-10	0.083840825	0.0013764782	-0.64676064	-0.64760494	-8e-06
3.9003499703909396e-10	0.08384333	0.0013982294	-0.6463781	-0.647222	-8e-06
