# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
0	0.10145653	0.0005775365	-0.6367041	-0.6376125	-8e-06	1.2864689e-08
1.0027394392251169e-11	0.10145644	0.000655976	-0.6366913	-0.63759977	-8e-06	1.2864678e-08
2.0017157640825696e-11	0.101456694	0.0007321501	-0.6366578	-0.6375659	-8e-06	1.2864709e-08
3.0002217713487197e-11	0.10145641	0.00080594607	-0.636604	-0.63751173	-8e-06	1.2864673e-08
4.003064934169556e-11	0.10145621	0.0008772004	-0.63653046	-0.63743764	-8e-06	1.2864648e-08
5.000930235277829e-11	0.101456694	0.0009457599	-0.6364385	-0.63734496	-8e-06	1.2864708e-08
6.003416562928704e-11	0.101457804	0.001012161	-0.6363283	-0.63723373	-8e-06	1.2864848e-08
7.000128431468085e-11	0.10145944	0.0010748653	-0.6362018	-0.6371061	-8e-06	1.2865057e-08
8.002164863592007e-11	0.10146145	0.0011338509	-0.63605845	-0.6369617	-8e-06	1.28653115e-08
9.004285688585465e-11	0.10146371	0.0011887806	-0.6359003	-0.6368021	-8e-06	1.28655975e-08
1.000119611893957e-10	0.10146604	0.0012395765	-0.635729	-0.63662946	-8e-06	1.2865894e-08
1.1002977983384881e-10	0.10146864	0.0012867112	-0.63554424	-0.636443	-8e-06	1.2866222e-08
1.2004462870557727e-10	0.101471536	0.0013296426	-0.63534784	-0.63624495	-8e-06	1.28665905e-08
1.300080573550196e-10	0.10147493	0.0013680087	-0.6351423	-0.6360376	-8e-06	1.2867022e-08
1.400246490457158e-10	0.10147887	0.0014018712	-0.63492644	-0.63582	-8e-06	1.286752e-08
1.5004060079072766e-10	0.10148305	0.0014309431	-0.6347028	-0.6355943	-8e-06	1.286805e-08
1.6000250881127513e-10	0.10148729	0.0014551291	-0.63447386	-0.6353634	-8e-06	1.2868588e-08
1.700175346356303e-10	0.10149161	0.0014747897	-0.6342383	-0.6351259	-8e-06	1.2869137e-08
1.800333572977936e-10	0.10149617	0.0014898123	-0.6339988	-0.63488424	-8e-06	1.2869715e-08
1.9004981383999692e-10	0.101501055	0.0015001047	-0.6337566	-0.6346399	-8e-06	1.2870333e-08
2.0001340033164983e-10	0.10150617	0.0015056637	-0.6335141	-0.63439536	-8e-06	1.28709825e-08
2.1002881249839843e-10	0.10151149	0.0015065962	-0.6332703	-0.6341494	-8e-06	1.28716575e-08
2.2004229046166065e-10	0.10151694	0.0015028568	-0.6330275	-0.63390446	-8e-06	1.2872347e-08
2.3005111717589423e-10	0.10152234	0.001494597	-0.63278705	-0.63366187	-8e-06	1.2873032e-08
2.400082093747262e-10	0.101527706	0.0014821144	-0.63255125	-0.63342404	-8e-06	1.2873713e-08
2.5001878991274265e-10	0.101533145	0.0014654665	-0.6323187	-0.63318944	-8e-06	1.2874403e-08
