# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
5.100023949756284e-10	0.10746908	-0.00018238997	-0.65920794	-0.66032386	-8e-06	1.3627082e-08
5.200129128203513e-10	0.10746732	-0.00019061302	-0.65930355	-0.66042024	-8e-06	1.3626858e-08
5.30023504948584e-10	0.10746556	-0.00019612291	-0.65940046	-0.6605179	-8e-06	1.3626632e-08
5.400341346896053e-10	0.107463785	-0.00019895987	-0.6594981	-0.6606161	-8e-06	1.3626407e-08
5.500448135172214e-10	0.107462	-0.00019917954	-0.6595955	-0.66071427	-8e-06	1.362618e-08
5.600028427730021e-10	0.10746021	-0.00019682945	-0.6596916	-0.660811	-8e-06	1.3625953e-08
5.700136336956856e-10	0.10745843	-0.00019193122	-0.6597866	-0.66090673	-8e-06	1.3625728e-08
5.800244448868627e-10	0.1074567	-0.00018458474	-0.6598795	-0.6610002	-8e-06	1.36255105e-08
5.900352959362412e-10	0.10745504	-0.00017490347	-0.6599695	-0.6610909	-8e-06	1.3625299e-08
6.000461602321545e-10	0.10745348	-0.0001630422	-0.6600561	-0.6611782	-8e-06	1.3625102e-08
6.100043460589011e-10	0.107452005	-0.00014921243	-0.6601383	-0.66126096	-8e-06	1.36249145e-08
6.200152303828601e-10	0.10745053	-0.000133373	-0.66021645	-0.66133976	-8e-06	1.3624727e-08
6.300261575603567e-10	0.10744912	-0.00011577159	-0.66028965	-0.6614135	-8e-06	1.36245495e-08
6.400370762491914e-10	0.10744786	-9.655977e-05	-0.66035753	-0.6614818	-8e-06	1.3624389e-08
6.50048045019525e-10	0.107446715	-7.58942e-05	-0.6604196	-0.6615444	-8e-06	1.3624243e-08
6.600063577488994e-10	0.107445665	-5.410422e-05	-0.66047525	-0.6616005	-8e-06	1.362411e-08
6.700173680442593e-10	0.107444756	-3.1172414e-05	-0.66052485	-0.6616505	-8e-06	1.3623993e-08
6.800283978265286e-10	0.1074439	-7.3811984e-06	-0.6605679	-0.6616939	-8e-06	1.3623887e-08
6.900394423889948e-10	0.107443154	1.7110982e-05	-0.6606042	-0.66173035	-8e-06	1.362379e-08
7.000504861781565e-10	0.10744254	4.209238e-05	-0.66063356	-0.66176	-8e-06	1.3623715e-08
7.100088744188997e-10	0.107442036	6.725579e-05	-0.66065586	-0.66178244	-8e-06	1.362365e-08
7.200199169728687e-10	0.10744167	9.26342e-05	-0.66067135	-0.6617981	-8e-06	1.36236045e-08
7.300309661514117e-10	0.107441455	0.000117923184	-0.6606798	-0.6618067	-8e-06	1.3623576e-08
7.4004203279745e-10	0.107441336	0.00014297111	-0.66068155	-0.6618085	-8e-06	1.3623562e-08
7.50000394225724e-10	0.107441396	0.00016741698	-0.6606768	-0.6618036	-8e-06	1.3623569e-08
7.600114568454908e-10	0.10744146	0.00019140249	-0.6606653	-0.6617921	-8e-06	1.3623579e-08
