# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
0	0.08371634	3.2221775e-05	-0.6541677	-0.6550113	-8e-06
1.0028171212158937e-11	0.08371734	0.00019587795	-0.6541395	-0.65498364	-8e-06
2.0015563225872203e-11	0.083719485	0.00035427566	-0.6540673	-0.654911	-8e-06
3.0000452981507346e-11	0.08372092	0.0005081915	-0.6539513	-0.65479505	-8e-06
4.003037626213564e-11	0.08371992	0.00065809203	-0.6537925	-0.6546361	-8e-06
5e-11	0.08371807	0.00080376596	-0.6535935	-0.6544367	-8e-06
6.002553436348752e-11	0.08371672	0.0009470568	-0.653353	-0.65419596	-8e-06
7.004293796517093e-11	0.08371684	0.0010865468	-0.6530737	-0.6539165	-8e-06
8.000635775697716e-11	0.08371823	0.001220321	-0.65275836	-0.6536008	-8e-06
9.00223228298778e-11	0.08371979	0.0013493055	-0.652405	-0.653247	-8e-06
1e-10	0.0837203	0.0014727423	-0.65201795	-0.65285945	-8e-06
1.1005160471327215e-10	0.083719745	0.0015925722	-0.6515939	-0.65243495	-8e-06
1.200131603404757e-10	0.083719164	0.001707237	-0.65114135	-0.65198183	-8e-06
1.3002708178540502e-10	0.08371951	0.0018180178	-0.6506553	-0.6514952	-8e-06
1.4004069666019573e-10	0.08372116	0.0019239449	-0.6501394	-0.65097874	-8e-06
1.5e-10	0.08372342	0.0020237265	-0.6495981	-0.6504369	-8e-06
1.6001504942775067e-10	0.08372537	0.0021184664	-0.649027	-0.64986503	-8e-06
1.700284158370059e-10	0.08372678	0.002207846	-0.64843035	-0.64926785	-8e-06
1.8004163739565596e-10	0.083728015	0.0022921201	-0.6478098	-0.64864653	-8e-06
1.900018863075245e-10	0.08372963	0.0023711943	-0.6471701	-0.64800614	-8e-06
2e-10	0.0837323	0.0024456272	-0.64650697	-0.6473423	-8e-06
2.100179500803173e-10	0.08373583	0.002514629	-0.64582306	-0.6466576	-8e-06
2.2003015428751272e-10	0.08373957	0.0025777174	-0.64512134	-0.6459552	-8e-06
2.3004211652739608e-10	0.08374316	0.0026350676	-0.6444033	-0.6452363	-8e-06
2.400011743294759e-10	0.083746605	0.002686749	-0.6436741	-0.64450634	-8e-06
2.5e-10	0.083750315	0.002733589	-0.64292854	-0.64376	-8e-06
2.6001713586192913e-10	0.08375471	0.0027754493	-0.6421697	-0.64300036	-8e-06
2.700286676444212e-10	0.083759815	0.0028119183	-0.64140075	-0.64223063	-8e-06
2.800402007109157e-10	0.08376537	0.0028428447	-0.6406229	-0.64145195	-8e-06
2.9005164014863346e-10	0.08377112	0.0028682395	-0.63983756	-0.6406657	-8e-06
3e-10	0.083776884	0.0028882308	-0.63905114	-0.63987845	-8e-06
3.100167044783698e-10	0.08378279	0.0029033667	-0.6382548	-0.6390813	-8e-06
3.2002810989225594e-10	0.08378903	0.0029137125	-0.6374556	-0.6382812	-8e-06
3.3003948219666134e-10	0.08379574	0.0029193086	-0.6366546	-0.6374795	-8e-06
3.40050870610345e-10	0.08380292	0.0029200728	-0.6358531	-0.63667715	-8e-06
3.5e-10	0.08381036	0.002916039	-0.6350575	-0.63588065	-8e-06
3.6001622301160386e-10	0.08381795	0.0029073367	-0.63425857	-0.6350809	-8e-06
3.700272123456711e-10	0.083825566	0.0028942863	-0.63346344	-0.63428485	-8e-06
3.8003820906130867e-10	0.08383329	0.0028771656	-0.63267267	-0.6334933	-8e-06
3.900492922755415e-10	0.08384122	0.0028561528	-0.63188773	-0.6327074	-8e-06
4.0005325417473623e-10	0.08384941	0.0028313554	-0.63110983	-0.63192874	-8e-06
4.1001561924923364e-10	0.083857775	0.0028029683	-0.630343	-0.6311611	-8e-06
4.200262422330119e-10	0.083866276	0.002770884	-0.6295812	-0.6303984	-8e-06
4.3003664467752663e-10	0.08387477	0.0027354471	-0.62882894	-0.62964535	-8e-06
4.400465635257404e-10	0.08388318	0.0026969244	-0.6280873	-0.6289029	-8e-06
4.5005296682688906e-10	0.083891556	0.0026556011	-0.6273573	-0.6281721	-8e-06
4.600128802365559e-10	0.08389991	0.0026118795	-0.62664264	-0.6274567	-8e-06
4.700228519288833e-10	0.083908364	0.0025654712	-0.6259372	-0.62675047	-8e-06
4.800329666867483e-10	0.083916835	0.0025166888	-0.6252453	-0.62605774	-8e-06
4.90043228015074e-10	0.08392524	0.0024656963	-0.6245674	-0.6253791	-8e-06
5.000527630316578e-10	0.083933465	0.0024127278	-0.6239042	-0.62471515	-8e-06
5.100114931660156e-10	0.08394144	0.0023583167	-0.62325937	-0.6240696	-8e-06
5.200222113307664e-10	0.08394928	0.0023021083	-0.6226267	-0.62343615	-8e-06
5.300330462974863e-10	0.083957024	0.0022445424	-0.62201005	-0.6228188	-8e-06
5.400439463997206e-10	0.08396469	0.0021857417	-0.6214097	-0.6222178	-8e-06
5.50052866605183e-10	0.08397223	0.0021258306	-0.6208262	-0.62163347	-8e-06
5.600130875284962e-10	0.083979525	0.0020652292	-0.6202622	-0.6210689	-8e-06
5.70024247331413e-10	0.083986565	0.0020035012	-0.61971253	-0.6205185	-8e-06
5.800354111678734e-10	0.08399334	0.0019411528	-0.6191801	-0.61998546	-8e-06
5.900465823961473e-10	0.08399987	0.0018783563	-0.6186653	-0.61947	-8e-06
6e-10	0.084006235	0.0018155873	-0.6181708	-0.6189749	-8e-06
6.100148266649074e-10	0.08401247	0.0017521508	-0.6176909	-0.61849445	-8e-06
6.20025821967716e-10	0.08401848	0.0016885167	-0.6172289	-0.618032	-8e-06
6.300366984517691e-10	0.08402421	0.0016247706	-0.61678475	-0.6175872	-8e-06
6.400473320453398e-10	0.08402964	0.0015610629	-0.6163584	-0.6171603	-8e-06
6.5e-10	0.08403476	0.0014978993	-0.615952	-0.6167534	-8e-06
6.600142400942043e-10	0.0840397	0.0014346093	-0.61556077	-0.61636174	-8e-06
6.700245332995997e-10	0.084044464	0.001371647	-0.6151873	-0.61598766	-8e-06
6.800346920368739e-10	0.08404903	0.0013090152	-0.6148312	-0.6156313	-8e-06
6.900447845587936e-10	0.08405335	0.001246754	-0.6144927	-0.61529225	-8e-06
7.000000000000001e-10	0.08405736	0.0011852895	-0.61417305	-0.61497223	-8e-06
7.100119236242308e-10	0.084061116	0.0011240311	-0.6138686	-0.6146674	-8e-06
7.200219159918421e-10	0.08406463	0.0010634251	-0.6135813	-0.6143797	-8e-06
