# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
0	0.08377481	1.24215085e-05	-0.6550701	-0.6559211	-8e-06
1.0012659363216336e-11	0.083778925	6.7911846e-05	-0.655061	-0.6559122	-8e-06
2.001098766109915e-11	0.08378664	0.000120219585	-0.65503734	-0.6558884	-8e-06
3.0031278285251896e-11	0.08379105	0.00016944876	-0.65499926	-0.6558503	-8e-06
4.005158756047015e-11	0.08378869	0.00021664574	-0.6549472	-0.65579826	-8e-06
5e-11	0.08378292	0.00026363746	-0.654882	-0.6557329	-8e-06
6.003140431659435e-11	0.083779365	0.0003122432	-0.65480286	-0.6556538	-8e-06
7.005024685922015e-11	0.083781205	0.0003613473	-0.6547107	-0.65556157	-8e-06
8.000989857141044e-11	0.0837866	0.00040860483	-0.6546063	-0.6554571	-8e-06
9.002712157379484e-11	0.083791114	0.00045293669	-0.6544888	-0.6553395	-8e-06
1e-10	0.08379174	0.0004941958	-0.65435976	-0.6552103	-8e-06
1.1001715643127603e-10	0.08378925	0.0005346926	-0.65421814	-0.6550686	-8e-06
1.2003233345775888e-10	0.083786964	0.0005761312	-0.65406483	-0.65491515	-8e-06
1.3004833676325946e-10	0.08378749	0.00061861746	-0.6539	-0.6547503	-8e-06
1.400120536121509e-10	0.083790846	0.00066037953	-0.653725	-0.65457517	-8e-06
1.5e-10	0.083794795	0.00069985306	-0.65353864	-0.6543886	-8e-06
1.6001909191527507e-10	0.083797134	0.0007366833	-0.6533412	-0.6541909	-8e-06
1.7003489820038567e-10	0.08379735	0.000771984	-0.6531333	-0.6539828	-8e-06
1.800506213688901e-10	0.08379673	0.0008074317	-0.6529151	-0.6537646	-8e-06
1.900135660659455e-10	0.083797	0.00084352354	-0.65268826	-0.6535376	-8e-06
2e-10	0.083799034	0.00087972323	-0.6524512	-0.6533004	-8e-06
2.1001776126629403e-10	0.083802275	0.0009145851	-0.65220404	-0.6530529	-8e-06
2.2003357951961498e-10	0.08380534	0.00094727677	-0.65194756	-0.6527962	-8e-06
2.3004934848294013e-10	0.0838073	0.0009783207	-0.65168214	-0.6525305	-8e-06
2.400124216420302e-10	0.08380823	0.0010086815	-0.6514092	-0.65225744	-8e-06
2.5e-10	0.083809	0.0010393863	-0.6511271	-0.65197515	-8e-06
2.600189852413365e-10	0.083810575	0.0010703121	-0.65083575	-0.6516835	-8e-06
2.700346958111049e-10	0.08381322	0.0011005091	-0.6505363	-0.65138376	-8e-06
2.800504012283142e-10	0.0838164	0.0011292681	-0.65022886	-0.6510761	-8e-06
2.9001337724977793e-10	0.083819255	0.0011564094	-0.6499153	-0.65076226	-8e-06
3e-10	0.083821364	0.0011827245	-0.6495934	-0.65044016	-8e-06
3.100179043725387e-10	0.083822966	0.0012088763	-0.6492632	-0.65010965	-8e-06
3.2003352524296354e-10	0.083824694	0.0012349939	-0.6489258	-0.649772	-8e-06
3.3004901911989124e-10	0.0838271	0.0012607693	-0.64858145	-0.6494273	-8e-06
3.400119638143983e-10	0.08383012	0.0012855653	-0.6482321	-0.6490776	-8e-06
3.5e-10	0.08383332	0.001309318	-0.6478752	-0.64872044	-8e-06
3.600143698214564e-10	0.08383619	0.0013321772	-0.64751095	-0.64835584	-8e-06
3.700231860149707e-10	0.083838575	0.0013544612	-0.64714056	-0.6479851	-8e-06
3.800323837972294e-10	0.08384079	0.0013764863	-0.646764	-0.64760816	-8e-06
3.9004182503396785e-10	0.08384326	0.0013982604	-0.6463814	-0.64722526	-8e-06
4.0000237299019823e-10	0.08384616	0.0014194545	-0.6459949	-0.6468384	-8e-06
4.100419776401209e-10	0.08384939	0.0014401022	-0.64559966	-0.6464428	-8e-06
4.2005189558112905e-10	0.08385261	0.0014599107	-0.6452	-0.6460428	-8e-06
4.300090748524219e-10	0.08385559	0.0014789541	-0.64479727	-0.6456396	-8e-06
4.4001887896500093e-10	0.08385838	0.0014976398	-0.644387	-0.645229	-8e-06
4.500479970305754e-10	0.08386113	0.0015160661	-0.6439709	-0.64481246	-8e-06
4.600125777376007e-10	0.08386402	0.0015340936	-0.6435525	-0.6443937	-8e-06
4.700226903855045e-10	0.08386717	0.0015518264	-0.6431274	-0.64396816	-8e-06
4.800328313995604e-10	0.08387051	0.0015690404	-0.64269745	-0.6435379	-8e-06
4.900431243821901e-10	0.08387386	0.00158566	-0.642263	-0.6431028	-8e-06
5.000527486005955e-10	0.08387711	0.0016017522	-0.64182407	-0.6426635	-8e-06
5.100111458294902e-10	0.08388017	0.0016174032	-0.64138305	-0.6422219	-8e-06
5.200217034755504e-10	0.08388318	0.0016329371	-0.64093524	-0.6417738	-8e-06
5.300323960968209e-10	0.08388629	0.0016483106	-0.6404835	-0.6413214	-8e-06
5.400432181384658e-10	0.083889626	0.0016634198	-0.64002746	-0.64086497	-8e-06
5.50052804249059e-10	0.08389315	0.0016781167	-0.63956743	-0.6404044	-8e-06
5.600124044891081e-10	0.08389666	0.0016922697	-0.6391059	-0.63994235	-8e-06
5.70023530635763e-10	0.0839	0.0017061295	-0.63863814	-0.63947403	-8e-06
5.800347688895486e-10	0.08390316	0.001719815	-0.6381665	-0.6390018	-8e-06
5.900460906112104e-10	0.08390631	0.0017334613	-0.6376911	-0.63852584	-8e-06
6e-10	0.083909586	0.001746972	-0.6372148	-0.638049	-8e-06
6.100150643940681e-10	0.08391311	0.0017603686	-0.636732	-0.63756555	-8e-06
6.20026619009204e-10	0.08391672	0.001773433	-0.6362457	-0.6370787	-8e-06
6.300382528684782e-10	0.08392024	0.0017861895	-0.6357559	-0.6365883	-8e-06
6.400499664341124e-10	0.083923556	0.0017988042	-0.6352626	-0.6360944	-8e-06
6.5e-10	0.08392674	0.0018113703	-0.6347689	-0.63560003	-8e-06
6.60016935633982e-10	0.08392999	0.001824097	-0.6342684	-0.6350989	-8e-06
6.700288065870792e-10	0.08393343	0.0018368042	-0.6337648	-0.63459456	-8e-06
6.800406853832073e-10	0.083937	0.0018493718	-0.6332577	-0.63408685	-8e-06
6.90052506117944e-10	0.08394054	0.0018617575	-0.63274723	-0.63357574	-8e-06
7.000000000000001e-10	0.08394393	0.0018739726	-0.63223666	-0.6330644	-8e-06
7.100172587430643e-10	0.08394719	0.0018863366	-0.6317192	-0.6325462	-8e-06
7.20028876957627e-10	0.0839504	0.001898851	-0.63119847	-0.6320248	-8e-06
7.300381911027172e-10	0.083953716	0.0019115007	-0.63067454	-0.63150007	-8e-06
7.40047527229812e-10	0.083957165	0.0019241818	-0.63014716	-0.6309719	-8e-06
7.500000000000001e-10	0.08396062	0.0019367461	-0.62961936	-0.6304434	-8e-06
7.600127527699137e-10	0.08396402	0.0019493722	-0.6290848	-0.6299081	-8e-06
7.700222528106759e-10	0.083967276	0.001962086	-0.62854713	-0.6293695	-8e-06
7.80031818758206e-10	0.083970435	0.0019750034	-0.6280057	-0.62882733	-8e-06
7.900414043057244e-10	0.083973624	0.0019881462	-0.62746084	-0.6282816	-8e-06
8.000000000000001e-10	0.08397686	0.0020013794	-0.6269151	-0.627735	-8e-06
8.100153231132091e-10	0.083980195	0.002014772	-0.6263627	-0.6271817	-8e-06
8.200250043034927e-10	0.08398349	0.002028223	-0.6258068	-0.62662494	-8e-06
8.300346874596673e-10	0.08398669	0.002041801	-0.6252472	-0.6260645	-8e-06
8.400443886379411e-10	0.08398978	0.0020555921	-0.62468386	-0.6255003	-8e-06
8.500000000000002e-10	0.0839928	0.002069565	-0.6241197	-0.6249352	-8e-06
8.600110864854091e-10	0.08399587	0.0020838392	-0.62354857	-0.6243631	-8e-06
8.700208153392488e-10	0.08399899	0.0020982784	-0.6229735	-0.62378716	-8e-06
8.800306011452853e-10	0.08400213	0.002112854	-0.6223945	-0.6232072	-8e-06
8.900403884073667e-10	0.0840052	0.0021275792	-0.62181145	-0.6226231	-8e-06
9.000000000000002e-10	0.084008165	0.0021424356	-0.6212272	-0.62203795	-8e-06
9.100435059993021e-10	0.084011056	0.0021576488	-0.620634	-0.6214436	-8e-06
9.20000709112988e-10	0.08401392	0.0021729602	-0.6200416	-0.6208502	-8e-06
9.300106450867433e-10	0.08401681	0.0021885473	-0.6194418	-0.6202494	-8e-06
9.400205870143753e-10	0.084019735	0.0022042892	-0.6188377	-0.61964417	-8e-06
9.500000000000002e-10	0.08402263	0.002220134	-0.61823106	-0.6190365	-8e-06
9.600099851122442e-10	0.08402546	0.0022361919	-0.6176182	-0.6184225	-8e-06
9.700201220515184e-10	0.08402817	0.002252419	-0.61700076	-0.61780405	-8e-06
9.800302851510007e-10	0.08403087	0.002268815	-0.61637896	-0.617181	-8e-06
9.900405076770374e-10	0.08403356	0.0022853678	-0.61575246	-0.6165534	-8e-06
1.0000000000000003e-09	0.08403625	0.0023019682	-0.61512464	-0.6159245	-8e-06
1.0100237782449503e-09	0.08701941	0.0016303938	-0.6140383	-0.61483306	-8e-06
1.020034126772941e-09	0.0882363	-0.0012025484	-0.61291975	-0.61371136	-8e-06
1.0300445261670769e-09	0.08688833	-0.0033537396	-0.6117805	-0.6125722	-8e-06
1.0400022717953131e-09	0.08425958	-0.0029707297	-0.6106135	-0.6114052	-8e-06
1.0500000000000003e-09	0.08248235	-0.0006522895	-0.60938925	-0.6101786	-8e-06
1.0600160565289932e-09	0.0829409	0.001524699	-0.6081117	-0.6088972	-8e-06
1.070026556735133e-09	0.08511863	0.0019760518	-0.60678923	-0.6075711	-8e-06
1.0800370702130171e-09	0.08711503	0.000754901	-0.60542566	-0.6062054	-8e-06
1.090047592878699e-09	0.08730406	-0.00080862135	-0.6040259	-0.6048035	-8e-06
1.1000000000000003e-09	0.08566857	-0.0013603129	-0.602598	-0.60337317	-8e-06
1.1100143818046507e-09	0.08366405	-0.0005365006	-0.6011261	-0.6018981	-8e-06
1.1200248755820183e-09	0.082967125	0.00095606846	-0.59962094	-0.60038996	-8e-06
1.1300353447076702e-09	0.0840398	0.0019963123	-0.59807974	-0.5988461	-8e-06
1.1400458306716755e-09	0.08584638	0.0019611018	-0.5964962	-0.5972597	-8e-06
1.1500000000000004e-09	0.08683398	0.0010861229	-0.59488076	-0.59564114	-8e-06
1.1600133156823187e-09	0.08625917	0.0002251786	-0.59322375	-0.5939808	-8e-06
1.1700236378945556e-09	0.0847275	0.00012545586	-0.591542	-0.59229594	-8e-06
1.1800339544637767e-09	0.08358246	0.0008708469	-0.5898366	-0.59058774	-8e-06
1.190044223454989e-09	0.083709955	0.0019008414	-0.58810323	-0.5888518	-8e-06
1.2000000000000004e-09	0.084865786	0.0024680772	-0.58634514	-0.5870909	-8e-06
1.2100117030984432e-09	0.086020276	0.0022529503	-0.58454114	-0.58528364	-8e-06
1.2200217376262394e-09	0.08622472	0.0015499907	-0.5827091	-0.58344805	-8e-06
1.2300317259923782e-09	0.08539974	0.0010212623	-0.58085835	-0.5815946	-8e-06
1.2400416681819877e-09	0.08431809	0.0011552504	-0.5789921	-0.5797259	-8e-06
1.2500000000000004e-09	0.08388179	0.0018611412	-0.57711643	-0.57784784	-8e-06
1.2600345609412992e-09	0.08437061	0.0025874898	-0.57520217	-0.5759311	-8e-06
1.2700444115541746e-09	0.085288085	0.002789874	-0.5732665	-0.5739926	-8e-06
1.2800015555310174e-09	0.08584191	0.0024131048	-0.57131904	-0.57204247	-8e-06
1.2900114028902396e-09	0.08562947	0.0018689678	-0.56934685	-0.5700677	-8e-06
1.3000000000000005e-09	0.08490803	0.0016598596	-0.567369	-0.5680877	-8e-06
1.3100149074510025e-09	0.084310964	0.001954483	-0.56537485	-0.56609166	-8e-06
1.3200248297271369e-09	0.0842965	0.002503926	-0.5633671	-0.5640819	-8e-06
1.3300347791819773e-09	0.0848022	0.0028938847	-0.56134266	-0.5620554	-8e-06
1.340044734098142e-09	0.08536936	0.002873216	-0.55930275	-0.5600133	-8e-06
1.3500000000000005e-09	0.08555219	0.0025285606	-0.5572626	-0.5579712	-8e-06
1.360011831361095e-09	0.085255474	0.0021775835	-0.55520344	-0.55591	-8e-06
1.3700218909269904e-09	0.08475833	0.0021261577	-0.5531381	-0.553843	-8e-06
1.3800319605248983e-09	0.084467545	0.0024285445	-0.5510648	-0.5517683	-8e-06
1.3900420687128516e-09	0.08459203	0.0028490592	-0.5489812	-0.54968315	-8e-06
1.4000000000000005e-09	0.084995806	0.0030629032	-0.546897	-0.5475973	-8e-06
1.4100247079899728e-09	0.085342735	0.0029310146	-0.5447886	-0.54548705	-8e-06
1.4200349042289563e-09	0.08536315	0.0026046436	-0.54267573	-0.54337245	-8e-06
1.4300451137492728e-09	0.08506925	0.0023925074	-0.54055744	-0.5412526	-8e-06
1.4400026485495185e-09	0.084722914	0.0024901028	-0.53844434	-0.53913814	-8e-06
1.4500000000000006e-09	0.084604286	0.0028210834	-0.5363146	-0.537007	-8e-06
1.4600158469492318e-09	0.0847943	0.0031170475	-0.5341706	-0.5348613	-8e-06
1.4700261222173536e-09	0.08511698	0.0031580853	-0.5320171	-0.5327059	-8e-06
1.480036410397708e-09	0.08530325	0.00295923	-0.52985406	-0.5305408	-8e-06
1.4900466614989378e-09	0.08521559	0.0027382772	-0.5276828	-0.52836764	-8e-06
1.5000000000000006e-09	0.08495041	0.0027130719	-0.5255153	-0.52619827	-8e-06
1.5100135661422342e-09	0.08473503	0.0029190595	-0.52332425	-0.52400523	-8e-06
1.5200238561997746e-09	0.08474127	0.0031984611	-0.52112097	-0.5217997	-8e-06
1.5300341744980445e-09	0.084945455	0.0033513403	-0.518903	-0.51957923	-8e-06
1.5400444709579827e-09	0.08516531	0.0033096313	-0.5166695	-0.51734304	-8e-06
1.5500000000000006e-09	0.085221455	0.0031793157	-0.5144321	-0.51510286	-8e-06
1.5600121312678682e-09	0.08508206	0.0031283097	-0.5121648	-0.5128327	-8e-06
1.5700223905427213e-09	0.08487319	0.0032462808	-0.50987846	-0.51054335	-8e-06
1.5800326769216642e-09	0.084764875	0.0034808903	-0.5075698	-0.5082316	-8e-06
1.5900429159442818e-09	0.08483015	0.0037004026	-0.5052357	-0.50589406	-8e-06
1.6000000000000007e-09	0.084993824	0.0038093063	-0.50288564	-0.5035406	-8e-06
1.6100106290715833e-09	0.08510844	0.0038196843	-0.5004923	-0.50114346	-8e-06
1.6200207939551039e-09	0.08507431	0.0038258736	-0.4980658	-0.4987133	-8e-06
1.6300309341835197e-09	0.08491861	0.0039238185	-0.49560383	-0.49624747	-8e-06
1.6400410278402727e-09	0.08476185	0.00413476	-0.49310324	-0.49374303	-8e-06
1.6500000000000007e-09	0.084713005	0.004394616	-0.49057373	-0.4912096	-8e-06
1.6600123323050566e-09	0.08478242	0.004617964	-0.48798543	-0.48861718	-8e-06
1.6700224063734077e-09	0.084882036	0.004761971	-0.48534963	-0.48597726	-8e-06
1.6800323927908612e-09	0.08490317	0.0048600314	-0.48266384	-0.48328727	-8e-06
1.690042357300185e-09	0.08480722	0.0049844766	-0.47992676	-0.4805461	-8e-06
1.7000000000000007e-09	0.08465271	0.005181632	-0.4771521	-0.4777673	-8e-06
1.7100198620877278e-09	0.08453736	0.0054398547	-0.474307	-0.47491798	-8e-06
1.720029738516207e-09	0.084519915	0.0056989044	-0.47141048	-0.4720172	-8e-06
1.7300396053701296e-09	0.08457241	0.0059062885	-0.46845978	-0.46906215	-8e-06
1.7400494143923202e-09	0.08461146	0.006054866	-0.4654559	-0.46605402	-8e-06
1.7500000000000008e-09	0.08457222	0.0061796564	-0.46241954	-0.46301335	-8e-06
1.7600141839774328e-09	0.084459744	0.0063248132	-0.4593161	-0.45990562	-8e-06
1.7700239598635192e-09	0.08434106	0.0065037776	-0.4561695	-0.45675462	-8e-06
1.7800337690432584e-09	0.08428472	0.0066942913	-0.4529814	-0.45356226	-8e-06
1.7900435722345494e-09	0.08430485	0.006858341	-0.44975546	-0.45033184	-8e-06
1.8000000000000008e-09	0.08435451	0.006971539	-0.44651297	-0.447085	-8e-06
1.8100104663609439e-09	0.08437116	0.007040901	-0.44322342	-0.443791	-8e-06
1.8200202610655646e-09	0.084327824	0.007093706	-0.43990907	-0.44047222	-8e-06
1.8300300385987272e-09	0.08425265	0.007157743	-0.43657348	-0.43713227	-8e-06
1.840039834793334e-09	0.08419993	0.007240752	-0.43321985	-0.4337743	-8e-06
1.8500000000000008e-09	0.08420244	0.0073271273	-0.42986715	-0.43041724	-8e-06
1.8600066079419886e-09	0.08424642	0.00739439	-0.4264847	-0.42703056	-8e-06
1.8700164130745754e-09	0.08428643	0.007430531	-0.42308828	-0.42362985	-8e-06
1.8800262021283297e-09	0.084284544	0.007445693	-0.41967994	-0.42021742	-8e-06
1.890036008600101e-09	0.08423984	0.007464169	-0.41626042	-0.4167939	-8e-06
1.900000000000001e-09	0.08418536	0.0075050355	-0.4128456	-0.4133752	-8e-06
1.910005755838345e-09	0.08415686	0.0075680465	-0.40940526	-0.40993103	-8e-06
1.9200155949181448e-09	0.08416449	0.007633958	-0.4059519	-0.40647396	-8e-06
1.930025441090976e-09	0.084186405	0.0076811663	-0.40248716	-0.4030055	-8e-06
1.9400353036653746e-09	0.084190056	0.007702698	-0.39901185	-0.39952657	-8e-06
1.950000000000001e-09	0.08416062	0.0077095833	-0.39554343	-0.39605463	-8e-06
1.9600104577211907e-09	0.08411147	0.0077186213	-0.39205265	-0.39256042	-8e-06
1.9700203320996096e-09	0.08407211	0.007735702	-0.38855875	-0.38906303	-8e-06
1.980030206680327e-09	0.08406319	0.007749365	-0.3850649	-0.38556588	-8e-06
1.9900400938672005e-09	0.084081545	0.0077393763	-0.38157558	-0.38207325	-8e-06
2.000000000000001e-09	0.08410611	0.0076925326	-0.3781134	-0.3786078	-8e-06
2.0100487970595765e-09	0.08411791	0.007610047	-0.3746361	-0.37512738	-8e-06
2.020006052193704e-09	0.08411523	0.007506726	-0.37121257	-0.37170067	-8e-06
2.0300159731172583e-09	0.08411386	0.007393413	-0.36779916	-0.36828414	-8e-06
2.0400259151808652e-09	0.0841322	0.007272176	-0.36441985	-0.36490172	-8e-06
2.050000000000001e-09	0.084175654	0.007135172	-0.36109173	-0.36157045	-8e-06
2.0600514934999657e-09	0.084233664	0.006971662	-0.35778204	-0.35825756	-8e-06
2.070008775535494e-09	0.08428734	0.0067841993	-0.35455114	-0.35502347	-8e-06
2.0800187897082817e-09	0.08432681	0.006580399	-0.35135448	-0.35182345	-8e-06
2.0900288386975974e-09	0.08435528	0.0063753305	-0.34821138	-0.348677	-8e-06
2.100000000000001e-09	0.08438522	0.006178466	-0.345135	-0.34559733	-8e-06
2.1100442728037726e-09	0.084426776	0.0059867594	-0.34209156	-0.34255034	-8e-06
2.1200016589992393e-09	0.08447796	0.005796647	-0.33912894	-0.3395842	-8e-06
2.130011746503703e-09	0.08452862	0.005600942	-0.33620444	-0.33665615	-8e-06
2.1400218559982063e-09	0.08456747	0.005403325	-0.33333284	-0.33378085	-8e-06
2.150000000000001e-09	0.08459199	0.005212668	-0.33052126	-0.33096567	-8e-06
2.160007601242621e-09	0.084609486	0.0050353124	-0.32775065	-0.32819125	-8e-06
2.1700177577981787e-09	0.08462986	0.0048731975	-0.32502633	-0.32546318	-8e-06
2.1800279200565678e-09	0.0846576	0.004721535	-0.32234687	-0.32277983	-8e-06
2.19003810231451e-09	0.08468872	0.0045740423	-0.31970975	-0.32013893	-8e-06
2.200000000000001e-09	0.084714845	0.0044290163	-0.31712535	-0.31755063	-8e-06
2.2100291575696437e-09	0.08473107	0.0042878133	-0.3145615	-0.31498292	-8e-06
2.220039378397374e-09	0.084738985	0.0041571134	-0.31203836	-0.3124559	-8e-06
2.230049571324023e-09	0.08474539	0.0040397416	-0.30954885	-0.30996245	-8e-06
2.240007108412286e-09	0.08475603	0.0039346092	-0.30710354	-0.30751333	-8e-06
2.250000000000001e-09	0.08477141	0.0038361163	-0.3046786	-0.30508453	-8e-06
2.2600156634244263e-09	0.08478694	0.0037406886	-0.30227524	-0.30267733	-8e-06
2.270025875735319e-09	0.084797144	0.0036485894	-0.29989833	-0.30029655	-8e-06
2.280036122821451e-09	0.08480031	0.0035630392	-0.2975444	-0.29793888	-8e-06
2.2900463729400523e-09	0.0847994	0.0034875222	-0.2952116	-0.29560235	-8e-06
2.300000000000001e-09	0.08479927	0.0034231527	-0.292911	-0.29329798	-8e-06
2.310013378424266e-09	0.084802635	0.003366796	-0.29061362	-0.29099697	-8e-06
2.3200236271196598e-09	0.084808156	0.0033153994	-0.28833228	-0.28871197	-8e-06
2.330033898425917e-09	0.084811956	0.0032671038	-0.28606442	-0.28644046	-8e-06
2.340044118409725e-09	0.084811	0.0032228557	-0.28380835	-0.28418076	-8e-06
2.350000000000001e-09	0.08480552	0.0031853714	-0.2815746	-0.28194344	-8e-06
2.3600117438430934e-09	0.08479843	0.0031559593	-0.27933684	-0.27970213	-8e-06
2.3700219338743942e-09	0.08479292	0.003134186	-0.27710646	-0.2774683	-8e-06
2.3800321146731157e-09	0.08478991	0.003117464	-0.2748818	-0.27524012	-8e-06
2.3900423088192525e-09	0.08478752	0.003103263	-0.27266157	-0.27301636	-8e-06
2.4000000000000012e-09	0.084782995	0.0030909295	-0.27045614	-0.27080745	-8e-06
2.4100114254505716e-09	0.084774934	0.003081565	-0.26824096	-0.26858887	-8e-06
2.420021591651299e-09	0.08476437	0.0030769461	-0.26602736	-0.26637182	-8e-06
2.430031772555054e-09	0.08475383	0.0030774996	-0.26381412	-0.26415515	-8e-06
2.4400419718933098e-09	0.08474517	0.0030818114	-0.2616005	-0.26193815	-8e-06
2.4500000000000013e-09	0.08473823	0.0030875737	-0.25939742	-0.2597317	-8e-06
2.46003862699573e-09	0.0847311	0.0030933423	-0.25717494	-0.2575059	-8e-06
2.4700487812836206e-09	0.084722005	0.0030991503	-0.2549569	-0.2552845	-8e-06
2.480006269509805e-09	0.08471068	0.0031061189	-0.25274834	-0.25307262	-8e-06
2.4900164063012036e-09	0.08469844	0.0031151418	-0.2505257	-0.2508467	-8e-06
2.5000000000000013e-09	0.08468729	0.0031256347	-0.24830656	-0.24862432	-8e-06
2.5100143542561903e-09	0.08467805	0.0031359764	-0.24607827	-0.24639273	-8e-06
2.5200244246336863e-09	0.08467001	0.003144403	-0.24384867	-0.24415994	-8e-06
2.5300344682756205e-09	0.08466163	0.0031502412	-0.24161723	-0.24192531	-8e-06
2.5400445150738414e-09	0.084652	0.0031539567	-0.23938441	-0.2396893	-8e-06
2.5500000000000013e-09	0.08464161	0.0031563332	-0.23716289	-0.2374647	-8e-06
2.5600117198686205e-09	0.08463177	0.0031575134	-0.23492853	-0.23522726	-8e-06
2.570021740545283e-09	0.084623724	0.0031566191	-0.23269503	-0.2329907	-8e-06
2.5800317765290686e-09	0.08461754	0.0031523898	-0.23046273	-0.23075542	-8e-06
2.590041799587701e-09	0.08461222	0.0031440372	-0.22823252	-0.22852226	-8e-06
2.6000000000000014e-09	0.08460675	0.0031317763	-0.22601679	-0.22630365	-8e-06
2.6100216234763066e-09	0.08460073	0.0031162035	-0.22379087	-0.22407484	-8e-06
2.6200316785326078e-09	0.084594876	0.0030979996	-0.22157231	-0.22185345	-8e-06
2.630041685696853e-09	0.08459017	0.0030770702	-0.21935949	-0.21963783	-8e-06
2.640051733353242e-09	0.0845871	0.003052779	-0.21715337	-0.21742892	-8e-06
2.6500000000000014e-09	0.08458528	0.0030246533	-0.21496838	-0.21524127	-8e-06
2.6600151692616597e-09	0.08458384	0.0029921976	-0.2127773	-0.21304743	-8e-06
2.670025206926278e-09	0.08458218	0.0029560206	-0.21059687	-0.21086426	-8e-06
2.6800352481656496e-09	0.08458043	0.002916646	-0.20842692	-0.20869163	-8e-06
2.690045306352775e-09	0.0845793	0.002874259	-0.20626847	-0.20653048	-8e-06
2.7000000000000014e-09	0.08457943	0.0028287992	-0.20413435	-0.20439363	-8e-06
2.71001231840796e-09	0.08458096	0.0027791865	-0.20200129	-0.20225787	-8e-06
2.7200223870542775e-09	0.08458342	0.0027253514	-0.19988327	-0.2001371	-8e-06
2.7300324305232407e-09	0.084586255	0.0026673875	-0.1977808	-0.19803189	-8e-06
2.740042504391102e-09	0.08458929	0.0026057255	-0.19569497	-0.19594328	-8e-06
2.7500000000000015e-09	0.08459278	0.002541129	-0.19363755	-0.1938831	-8e-06
2.7600223171366437e-09	0.084597334	0.002472975	-0.19158536	-0.19182813	-8e-06
2.77003239373527e-09	0.084603176	0.0024017144	-0.18955524	-0.18979521	-8e-06
2.7800424869667634e-09	0.08461016	0.0023272657	-0.18754552	-0.18778268	-8e-06
2.7900526107498592e-09	0.08461776	0.0022499538	-0.18555696	-0.1857913	-8e-06
2.8000000000000015e-09	0.08462547	0.0021709711	-0.18360245	-0.18383399	-8e-06
2.8100154488779754e-09	0.084633306	0.0020901088	-0.18165676	-0.18188551	-8e-06
2.8200255924646217e-09	0.084641434	0.0020087126	-0.1797347	-0.17996067	-8e-06
2.830035733120098e-09	0.08465006	0.001927317	-0.17783535	-0.17805855	-8e-06
2.840045868258405e-09	0.08465917	0.0018463806	-0.17595863	-0.17617911	-8e-06
