# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
6.300107026569295e-10	0.08409819	0.003657755	-0.62228376	-0.6230981	-8e-06
6.400206723753338e-10	0.08410008	0.003708772	-0.6212704	-0.62208396	-8e-06
6.5e-10	0.08410185	0.0037585131	-0.62024635	-0.62105906	-8e-06
6.600098111838471e-10	0.08410371	0.0038071994	-0.6192058	-0.6200175	-8e-06
6.700197730815197e-10	0.084105805	0.0038544412	-0.6181521	-0.61896294	-8e-06
6.800297629124185e-10	0.08410812	0.0038999403	-0.6170857	-0.6178956	-8e-06
6.900397538077956e-10	0.08411052	0.0039434894	-0.6160072	-0.6168162	-8e-06
7.000000000000001e-10	0.08411284	0.003984827	-0.6149224	-0.6157306	-8e-06
7.100038799713474e-10	0.08411513	0.004024362	-0.6138219	-0.61462915	-8e-06
7.200139073165406e-10	0.084117524	0.0040619	-0.61271024	-0.6135165	-8e-06
7.300239281358136e-10	0.084120154	0.004097255	-0.61158866	-0.61239403	-8e-06
7.400339698605164e-10	0.08412311	0.004130177	-0.61045784	-0.6112623	-8e-06
7.500000000000001e-10	0.084126316	0.0041603134	-0.6093237	-0.6101271	-8e-06
7.60018677498384e-10	0.08412966	0.0041878563	-0.6081756	-0.60897815	-8e-06
7.70028739095269e-10	0.08413307	0.004212621	-0.6070215	-0.60782313	-8e-06
7.800387650775675e-10	0.08413663	0.0042346525	-0.6058612	-0.6066618	-8e-06
7.900488289445475e-10	0.084140465	0.0042538857	-0.60469526	-0.605495	-8e-06
8.000000000000001e-10	0.08414466	0.0042700893	-0.6035318	-0.6043304	-8e-06
8.1001425242832e-10	0.08414923	0.004283297	-0.6023571	-0.6031547	-8e-06
8.200242861335921e-10	0.08415406	0.0042933226	-0.6011798	-0.6019764	-8e-06
8.300343266988866e-10	0.0841591	0.004300211	-0.60000044	-0.60079604	-8e-06
8.400444059451881e-10	0.08416433	0.004304045	-0.59881973	-0.5996144	-8e-06
8.500000000000002e-10	0.084169775	0.0043048793	-0.59764516	-0.5984387	-8e-06
8.600116442370772e-10	0.0841756	0.0043027145	-0.59646446	-0.5972569	-8e-06
8.700216833945635e-10	0.0841818	0.0042975196	-0.5952851	-0.5960765	-8e-06
8.80031710353108e-10	0.08418831	0.0042893146	-0.5941079	-0.59489816	-8e-06
8.900417684829916e-10	0.08419503	0.004278215	-0.5929336	-0.59372276	-8e-06
9.000000000000002e-10	0.08420188	0.004264451	-0.59176904	-0.5925571	-8e-06
9.100195037422312e-10	0.084208906	0.004248031	-0.5906017	-0.5913886	-8e-06
9.200295693933753e-10	0.08421617	0.004229184	-0.5894406	-0.59022623	-8e-06
9.30039609215988e-10	0.084223695	0.004208024	-0.5882852	-0.5890697	-8e-06
9.40049671604302e-10	0.084231414	0.0041846796	-0.5871362	-0.5879196	-8e-06
9.500000000000002e-10	0.0842392	0.004159474	-0.586001	-0.5867831	-8e-06
9.600146384195807e-10	0.08424707	0.0041322988	-0.5848659	-0.58564675	-8e-06
9.700247400543552e-10	0.08425495	0.004103543	-0.5837392	-0.5845189	-8e-06
9.80034849290186e-10	0.084262885	0.004073418	-0.582621	-0.58339936	-8e-06
9.900449862479955e-10	0.08427086	0.004042115	-0.5815113	-0.58228844	-8e-06
1.0000000000000003e-09	0.08427882	0.0040099933	-0.58041674	-0.5811927	-8e-06
1.0100122871941456e-09	0.08708972	0.0032908516	-0.578875	-0.579646	-8e-06
1.0200224794327063e-09	0.08823195	0.00040629407	-0.57731485	-0.578083	-8e-06
1.0300326986010008e-09	0.08695025	-0.0018042601	-0.5757486	-0.57651675	-8e-06
1.040042914217899e-09	0.08447064	-0.0014832708	-0.5741648	-0.5749335	-8e-06
1.0500000000000003e-09	0.08281899	0.00081745995	-0.5725519	-0.573319	-8e-06
1.0600107823625702e-09	0.08323157	0.0029729498	-0.57089144	-0.5716549	-8e-06
1.0700210722541956e-09	0.08526136	0.003337332	-0.56919956	-0.56995934	-8e-06
1.0800314000713316e-09	0.08715343	0.0019925272	-0.5674832	-0.5682408	-8e-06
1.0900417498190582e-09	0.08737169	0.00035256337	-0.5657484	-0.56650466	-8e-06
1.1000000000000003e-09	0.08586218	-0.00018370291	-0.56400084	-0.56475574	-8e-06
1.1100392025386346e-09	0.083957896	0.0006871367	-0.5622139	-0.562966	-8e-06
1.1200495980133834e-09	0.083255894	0.0021443798	-0.56040865	-0.5611576	-8e-06
1.1300073108954808e-09	0.08421878	0.0030546691	-0.55859065	-0.559337	-8e-06
1.1400177251695324e-09	0.08593475	0.0028877552	-0.5567362	-0.55748	-8e-06
1.1500000000000004e-09	0.0869297	0.0019646818	-0.5548588	-0.5556003	-8e-06
1.1600136757033804e-09	0.0864387	0.0011568298	-0.5529525	-0.5536911	-8e-06
1.1700241441520137e-09	0.08498723	0.0011125884	-0.55102855	-0.5517639	-8e-06
1.180034613030794e-09	0.0838398	0.0018273636	-0.5490894	-0.54982173	-8e-06
1.1900450708942217e-09	0.08389567	0.0027498542	-0.5471325	-0.5478622	-8e-06
1.2000000000000004e-09	0.08499193	0.0032027615	-0.54516244	-0.54588926	-8e-06
1.2100129377162545e-09	0.08614802	0.00294244	-0.543154	-0.54387724	-8e-06
1.2200234499935136e-09	0.08639775	0.0022840127	-0.54112387	-0.5418434	-8e-06
1.230033955325545e-09	0.085609674	0.0018196173	-0.5390802	-0.5397962	-8e-06
1.240044509846757e-09	0.084526435	0.0019494941	-0.537027	-0.53773946	-8e-06
1.2500000000000004e-09	0.08406074	0.002563896	-0.53497386	-0.5356827	-8e-06
1.2600126353147657e-09	0.08451741	0.0031754747	-0.53289324	-0.5335983	-8e-06
1.2700232243593796e-09	0.08542618	0.0033337513	-0.53079456	-0.53149563	-8e-06
1.2800338142858943e-09	0.085998334	0.002994449	-0.52867943	-0.5293762	-8e-06
1.2900444274446754e-09	0.08580519	0.0025030032	-0.5265548	-0.5272471	-8e-06
1.3000000000000005e-09	0.08508934	0.0022833566	-0.5244384	-0.52512616	-8e-06
1.310012671136636e-09	0.084475696	0.00249583	-0.522307	-0.5229906	-8e-06
1.3200233232131228e-09	0.08444345	0.0029547592	-0.52017033	-0.5208497	-8e-06
1.3300339922736126e-09	0.08494721	0.0033025832	-0.51802474	-0.5186997	-8e-06
1.3400446891800362e-09	0.08552557	0.0032902732	-0.5158707	-0.5165408	-8e-06
1.3500000000000005e-09	0.085716955	0.0029625923	-0.5137245	-0.5143898	-8e-06
1.3600129700307196e-09	0.085416645	0.0025941166	-0.5115667	-0.5122271	-8e-06
1.3700236935973916e-09	0.08491028	0.002481165	-0.50941217	-0.5100681	-8e-06
1.3800344126327828e-09	0.0846161	0.0027071435	-0.5072597	-0.5079113	-8e-06
1.390045122732673e-09	0.08474549	0.0030738234	-0.5051068	-0.5057541	-8e-06
1.4000000000000005e-09	0.08515624	0.0032681029	-0.50296384	-0.5036066	-8e-06
1.4100133854119614e-09	0.08550522	0.0031304187	-0.50080746	-0.50144565	-8e-06
1.4200241394703747e-09	0.08552181	0.0027795185	-0.4986542	-0.49928784	-8e-06
1.430034862441663e-09	0.08522231	0.0025123064	-0.49650618	-0.4971358	-8e-06
1.4400455972344923e-09	0.08487402	0.0025434932	-0.4943636	-0.4949894	-8e-06
1.4500000000000006e-09	0.08476363	0.0028191244	-0.49223593	-0.49285802	-8e-06
1.4600137050860459e-09	0.084962405	0.0030823525	-0.49009567	-0.49071398	-8e-06
1.4700244577719235e-09	0.08528697	0.0031012075	-0.48795542	-0.4885699	-8e-06
1.480035206789441e-09	0.08546614	0.0028726414	-0.48581594	-0.48642668	-8e-06
1.490045935658723e-09	0.08536974	0.0026066673	-0.4836787	-0.484286	-8e-06
1.5000000000000006e-09	0.085102886	0.0025289864	-0.48155543	-0.48215967	-8e-06
1.5100133189233092e-09	0.084893785	0.0026884286	-0.47941884	-0.4800201	-8e-06
1.5200226803696166e-09	0.08490686	0.002935207	-0.4772794	-0.47787762	-8e-06
1.53003206915948e-09	0.08511023	0.0030646955	-0.47513393	-0.47572917	-8e-06
1.5400414674992727e-09	0.08532019	0.002996683	-0.47298157	-0.47357383	-8e-06
1.5500000000000006e-09	0.08536402	0.0028296404	-0.47083274	-0.47142228	-8e-06
1.5600184747019797e-09	0.08521773	0.0027354474	-0.4686627	-0.46924955	-8e-06
1.5700279693801785e-09	0.08501011	0.0028145483	-0.46648422	-0.46706852	-8e-06
1.5800374523432532e-09	0.08490585	0.0030185163	-0.4642924	-0.46487427	-8e-06
1.590046938238815e-09	0.08497019	0.0032083346	-0.46208456	-0.46266395	-8e-06
1.6000000000000007e-09	0.08512504	0.0032781959	-0.4598714	-0.46044827	-8e-06
1.6100125600310786e-09	0.08522777	0.0032366614	-0.45762634	-0.45820063	-8e-06
1.6200221409293204e-09	0.085186794	0.0031839998	-0.45536277	-0.45593458	-8e-06
1.630031697286243e-09	0.085033454	0.0032224453	-0.45307913	-0.45364872	-8e-06
1.6400413056580817e-09	0.084885456	0.0033717135	-0.45077455	-0.4513418	-8e-06
1.6500000000000007e-09	0.08484515	0.003559617	-0.44845992	-0.44902486	-8e-06
1.660017234316594e-09	0.08491883	0.00369319	-0.44610947	-0.44667196	-8e-06
1.670026841919557e-09	0.08502052	0.003731108	-0.4437392	-0.4442993	-8e-06
1.680036487245534e-09	0.08504854	0.0037135892	-0.44134867	-0.44190645	-8e-06
1.6900461957696422e-09	0.08496995	0.0037172078	-0.43893978	-0.43949538	-8e-06
1.7000000000000007e-09	0.08484239	0.0037865145	-0.43652812	-0.4370815	-8e-06
1.7100123584189786e-09	0.08475723	0.003902657	-0.43408787	-0.43463898	-8e-06
1.7200220911012816e-09	0.08476673	0.0040042712	-0.4316359	-0.4321848	-8e-06
1.7300318481623896e-09	0.08484306	0.004042994	-0.42917398	-0.4297207	-8e-06
1.7400415857651727e-09	0.0849085	0.004019291	-0.42670512	-0.42724973	-8e-06
1.7500000000000008e-09	0.08490296	0.0039741793	-0.42424574	-0.42478824	-8e-06
1.7600513482800212e-09	0.0848305	0.003949755	-0.42176342	-0.42230386	-8e-06
1.7700084541010265e-09	0.08475231	0.0039581554	-0.4193075	-0.41984597	-8e-06
1.7800182302840313e-09	0.08472932	0.003976569	-0.4168445	-0.4173809	-8e-06
1.790028066277632e-09	0.08477542	0.003970435	-0.4143898	-0.41492414	-8e-06
1.8000000000000008e-09	0.08484817	0.003921307	-0.41195524	-0.4124876	-8e-06
1.8100464681459238e-09	0.08488966	0.003837563	-0.4095161	-0.4100464	-8e-06
1.820003638138021e-09	0.084873006	0.0037477904	-0.40711442	-0.4076427	-8e-06
1.8300135295269585e-09	0.084822334	0.0036748159	-0.40471798	-0.40524417	-8e-06
1.8400234233641239e-09	0.084787995	0.003623313	-0.4023412	-0.40286523	-8e-06
1.8500000000000008e-09	0.084803216	0.0035770352	-0.39999294	-0.40051478	-8e-06
1.8600045779269505e-09	0.0848587	0.0035133192	-0.39765975	-0.39817935	-8e-06
1.870014521716788e-09	0.08491375	0.0034216985	-0.395348	-0.3958652	-8e-06
1.8800244695442803e-09	0.08493184	0.003311453	-0.3930599	-0.39357466	-8e-06
1.8900344646783362e-09	0.08490999	0.0032038991	-0.3907963	-0.39130855	-8e-06
1.900000000000001e-09	0.084878124	0.0031158563	-0.38856775	-0.38907743	-8e-06
1.9100157990516477e-09	0.08487133	0.0030455904	-0.3863534	-0.38686046	-8e-06
1.9200258191086397e-09	0.08490159	0.0029770753	-0.38416585	-0.38467026	-8e-06
1.9300358673652545e-09	0.08494964	0.0028925056	-0.38200387	-0.3825056	-8e-06
1.940045974672644e-09	0.08498362	0.00278782	-0.37986764	-0.3803666	-8e-06
1.950000000000001e-09	0.084986046	0.002676316	-0.37776896	-0.37826523	-8e-06
1.960012824045989e-09	0.08496655	0.0025750815	-0.37568375	-0.3761773	-8e-06
1.970022942131747e-09	0.084951505	0.002493823	-0.37362465	-0.37411556	-8e-06
1.980033052531597e-09	0.0849613	0.002425569	-0.37159052	-0.37207884	-8e-06
1.9900432234292255e-09	0.08499408	0.0023546724	-0.36958054	-0.37006626	-8e-06
2.000000000000001e-09	0.08502911	0.002271395	-0.36760435	-0.36808753	-8e-06
2.010010870983259e-09	0.085045785	0.0021786212	-0.3656397	-0.36612046	-8e-06
2.0200210900302292e-09	0.08503937	0.002090914	-0.36369666	-0.364175	-8e-06
2.030031312433173e-09	0.08502399	0.0020207688	-0.36177373	-0.36224967	-8e-06
2.0400415894553634e-09	0.08501914	0.001969418	-0.35986918	-0.36034283	-8e-06
2.050000000000001e-09	0.08503308	0.0019274385	-0.35799095	-0.3584624	-8e-06
2.0600168725901953e-09	0.085057534	0.0018832281	-0.35611627	-0.35658547	-8e-06
2.0700271619374864e-09	0.08507534	0.0018340591	-0.35425544	-0.3547225	-8e-06
2.0800374752808024e-09	0.0850754	0.0017872393	-0.35240528	-0.35287017	-8e-06
2.090047794570625e-09	0.085061036	0.0017538476	-0.35056365	-0.3510264	-8e-06
2.100000000000001e-09	0.085046045	0.0017394975	-0.3487388	-0.3491994	-8e-06
2.1100142595740894e-09	0.08504212	0.00174017	-0.34690633	-0.3473648	-8e-06
2.120024637577872e-09	0.08504999	0.0017468159	-0.34507582	-0.34553212	-8e-06
2.13003501731886e-09	0.085059404	0.0017530171	-0.34324428	-0.3436984	-8e-06
2.1400454180566117e-09	0.08505865	0.0017600922	-0.34140947	-0.34186134	-8e-06
2.150000000000001e-09	0.08504438	0.0017749681	-0.3395795	-0.3400291	-8e-06
2.160013052867828e-09	0.08502322	0.0018039821	-0.33773118	-0.33817846	-8e-06
2.170023499140415e-09	0.085005865	0.0018471401	-0.3358737	-0.33631855	-8e-06
2.180033903266382e-09	0.08499772	0.001898603	-0.33400458	-0.33444697	-8e-06
2.1900443087011403e-09	0.08499511	0.0019515638	-0.33212203	-0.3325619	-8e-06
2.200000000000001e-09	0.084989354	0.0020030783	-0.33023506	-0.33067235	-8e-06
2.21001222265496e-09	0.08497428	0.0020562976	-0.32832122	-0.3287559	-8e-06
2.2200226563506402e-09	0.08495121	0.0021154424	-0.32639056	-0.32682246	-8e-06
2.2300330919966303e-09	0.08492715	0.002182445	-0.32444185	-0.324871	-8e-06
2.240043489047883e-09	0.08490865	0.002254644	-0.32247448	-0.32290083	-8e-06
2.250000000000001e-09	0.08489676	0.0023263134	-0.3204989	-0.32092237	-8e-06
2.260011469075869e-09	0.08488675	0.002394015	-0.31849346	-0.318914	-8e-06
2.27002184831638e-09	0.084873	0.0024566762	-0.31646952	-0.31688708	-8e-06
2.280032219048273e-09	0.08485351	0.002516565	-0.31442744	-0.31484205	-8e-06
2.290042642656599e-09	0.084831424	0.0025760026	-0.31236804	-0.3127796	-8e-06
2.300000000000001e-09	0.08481214	0.0026345344	-0.3103034	-0.31071195	-8e-06
2.310010711057352e-09	0.084798664	0.0026899597	-0.30821258	-0.3086182	-8e-06
2.3200210700010336e-09	0.08479003	0.002738384	-0.30610824	-0.30651084	-8e-06
2.330031403625809e-09	0.08478229	0.0027778794	-0.30399185	-0.30439144	-8e-06
2.3400417177124005e-09	0.08477221	0.002809135	-0.3018652	-0.30226177	-8e-06
