# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)
0	0.08371634	3.2221775e-05	-0.6541677	-0.6550113	-8e-06
1.0028171212158937e-11	0.083717346	0.00019587795	-0.6541395	-0.65498364	-8e-06
2.0015563225872203e-11	0.083719485	0.00035427566	-0.65406734	-0.654911	-8e-06
3.0000452981507346e-11	0.08372092	0.0005081915	-0.6539513	-0.65479505	-8e-06
4.003037626213564e-11	0.08371992	0.00065809203	-0.6537925	-0.6546361	-8e-06
5.000528184740645e-11	0.08371808	0.0008038422	-0.65359336	-0.6544365	-8e-06
6.002701794343425e-11	0.08371672	0.00094707846	-0.653353	-0.65419596	-8e-06
7.004442323318572e-11	0.08371685	0.0010865657	-0.65307385	-0.65391636	-8e-06
8.000779060964798e-11	0.08371823	0.0012203397	-0.65275836	-0.6536007	-8e-06
9.002373303451867e-11	0.08371979	0.0013493244	-0.65240496	-0.6532469	-8e-06
1.0003924482726555e-10	0.0837203	0.0014732205	-0.65201634	-0.65285784	-8e-06
1.1000134959319738e-10	0.08371975	0.0015919827	-0.6515962	-0.6524371	-8e-06
1.20015646643899e-10	0.08371916	0.0017072636	-0.6511412	-0.6519817	-8e-06
1.300295971223194e-10	0.0837195	0.001818043	-0.65065515	-0.6514951	-8e-06
1.4004325252601168e-10	0.08372116	0.0019239708	-0.6501393	-0.6509787	-8e-06
1.500041113350742e-10	0.083723426	0.0020237684	-0.6495979	-0.6504367	-8e-06
1.600177219072235e-10	0.08372537	0.0021184934	-0.6490268	-0.649865	-8e-06
1.700311133034761e-10	0.08372677	0.0022078697	-0.6484302	-0.6492677	-8e-06
1.8004428955232984e-10	0.083728015	0.0022921378	-0.6478096	-0.6486464	-8e-06
1.900044647030406e-10	0.08372963	0.0023712122	-0.6471699	-0.64800596	-8e-06
2.0001708465257113e-10	0.08373231	0.0024457483	-0.64650583	-0.64734113	-8e-06
2.1002948971601204e-10	0.08373583	0.0025147041	-0.6458222	-0.6466568	-8e-06
2.200415989336709e-10	0.08373958	0.002577785	-0.6451206	-0.64595443	-8e-06
2.3000089606091418e-10	0.08374315	0.00263484	-0.64440626	-0.64523935	-8e-06
2.4001269412226727e-10	0.08374659	0.0026868042	-0.6436732	-0.6445055	-8e-06
2.500243689112337e-10	0.08375032	0.0027336979	-0.64292675	-0.6437582	-8e-06
2.60035948492787e-10	0.08375472	0.0027755229	-0.6421683	-0.64299893	-8e-06
2.7004747990312733e-10	0.083759844	0.0028119825	-0.6413994	-0.6422292	-8e-06
2.800063560846246e-10	0.083765365	0.002842749	-0.64062554	-0.6414546	-8e-06
2.900177585260786e-10	0.08377109	0.0028681622	-0.6398402	-0.6406684	-8e-06
3.0002923700743515e-10	0.083776884	0.0028882804	-0.6390489	-0.6398762	-8e-06
3.1004063750391855e-10	0.08378281	0.0029033963	-0.63825285	-0.6390794	-8e-06
3.2005203415529677e-10	0.08378903	0.0029137344	-0.63745373	-0.6382793	-8e-06
3.300107043480909e-10	0.083795734	0.0029193028	-0.63665694	-0.6374818	-8e-06
3.4002204747692016e-10	0.08380291	0.0029200797	-0.6358555	-0.6366795	-8e-06
3.500332653499549e-10	0.08381039	0.002916022	-0.6350549	-0.63587797	-8e-06
3.600443053657355e-10	0.083817974	0.002907308	-0.63425636	-0.6350786	-8e-06
3.7000262302989026e-10	0.08382554	0.0028943212	-0.63346535	-0.63428676	-8e-06
3.800136440361611e-10	0.08383328	0.002877212	-0.63267463	-0.6334952	-8e-06
3.900246455416564e-10	0.083841205	0.0028562145	-0.63188964	-0.6327094	-8e-06
4.000356498177335e-10	0.0838494	0.002831409	-0.63111126	-0.6319301	-8e-06
4.1004651875857644e-10	0.0838578	0.0028028784	-0.6303407	-0.6311587	-8e-06
4.2000445865712616e-10	0.08386627	0.002770958	-0.62958276	-0.63040006	-8e-06
4.300148849430923e-10	0.08387475	0.0027355247	-0.6288305	-0.62964696	-8e-06
4.400248093606797e-10	0.08388317	0.0026970126	-0.6280889	-0.6289045	-8e-06
4.500346775099703e-10	0.08389154	0.002655684	-0.6273586	-0.6281734	-8e-06
4.600445635759271e-10	0.08389994	0.0026117421	-0.62664044	-0.62745446	-8e-06
4.700018491568941e-10	0.08390835	0.002565571	-0.6259387	-0.62675196	-8e-06
4.800119842262337e-10	0.08391681	0.0025167915	-0.6252467	-0.6260592	-8e-06
4.900222477425016e-10	0.08392521	0.0024658036	-0.62456876	-0.6253805	-8e-06
5.000326442151071e-10	0.08393344	0.0024128358	-0.6239054	-0.62471646	-8e-06
5.10043203880404e-10	0.08394146	0.0023581432	-0.62325734	-0.6240675	-8e-06
5.200012173819362e-10	0.08394927	0.0023022313	-0.622628	-0.6234375	-8e-06
5.300120297996832e-10	0.083957	0.0022446665	-0.6220113	-0.62282	-8e-06
5.400229379021966e-10	0.083964676	0.0021858648	-0.6214109	-0.62221897	-8e-06
5.500339569924663e-10	0.083972216	0.0021259417	-0.62082726	-0.6216346	-8e-06
5.600450251173596e-10	0.08397954	0.002065034	-0.6202604	-0.6210671	-8e-06
5.700034706969838e-10	0.08398655	0.0020036348	-0.61971366	-0.62051964	-8e-06
5.800146565394319e-10	0.08399332	0.0019412879	-0.6191812	-0.61998653	-8e-06
5.900258418756085e-10	0.08399987	0.0018784902	-0.6186663	-0.619471	-8e-06
6.00037001869132e-10	0.08400627	0.001815353	-0.618169	-0.61897314	-8e-06
6.100480912893127e-10	0.084012486	0.0017519363	-0.61768943	-0.6184929	-8e-06
6.200064196068069e-10	0.084018454	0.0016886393	-0.6172299	-0.6180328	-8e-06
6.300172887251841e-10	0.0840242	0.0016248932	-0.61678565	-0.6175881	-8e-06
6.400279268565517e-10	0.08402964	0.0015611855	-0.6163592	-0.6171611	-8e-06
6.500384758319882e-10	0.08403479	0.0014976582	-0.6159504	-0.61675185	-8e-06
6.600489057264907e-10	0.08403973	0.0014343949	-0.61555946	-0.61636037	-8e-06
6.700065366864084e-10	0.08404446	0.0013717612	-0.6151879	-0.6159884	-8e-06
6.800167068609523e-10	0.084049016	0.0013091213	-0.6148319	-0.6156319	-8e-06
6.900267941971384e-10	0.08405333	0.0012468572	-0.6144932	-0.61529285	-8e-06
7.00036860216756e-10	0.08405736	0.0011850605	-0.61417186	-0.614971	-8e-06
7.100469139037304e-10	0.08406112	0.0011238244	-0.61386764	-0.61466634	-8e-06
7.200042419629127e-10	0.08406465	0.0010635382	-0.6135818	-0.6143802	-8e-06
7.300142098741405e-10	0.08406797	0.0010035912	-0.6133111	-0.61410916	-8e-06
7.400241683225031e-10	0.08407114	0.0009443098	-0.6130571	-0.61385477	-8e-06
7.500341270658401e-10	0.08407409	0.0008857055	-0.61281943	-0.6136168	-8e-06
7.600440866154127e-10	0.084076814	0.00082781434	-0.61259794	-0.6133951	-8e-06
7.700013605350999e-10	0.08407929	0.00077100366	-0.6123936	-0.6131905	-8e-06
7.800113236655656e-10	0.08408154	0.0007147212	-0.6122038	-0.6130004	-8e-06
7.900213099602466e-10	0.08408362	0.0006592919	-0.6120295	-0.612826	-8e-06
8.000313058500813e-10	0.08408552	0.0006047093	-0.61187065	-0.6126667	-8e-06
8.100413620312693e-10	0.08408726	0.0005509724	-0.61172664	-0.61252266	-8e-06
8.200514813803199e-10	0.084088825	0.00049809256	-0.6115976	-0.6123934	-8e-06
8.30008946545809e-10	0.08409018	0.00044636914	-0.6114836	-0.6122793	-8e-06
8.400191468743092e-10	0.08409135	0.0003952883	-0.6113834	-0.6121789	-8e-06
8.500294095484358e-10	0.084092334	0.0003451461	-0.6112971	-0.6120926	-8e-06
8.60039760382898e-10	0.08409317	0.0002959434	-0.61122465	-0.6120201	-8e-06
