# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
0	0.10429371	0.00034598622	-0.6497856	-0.6508258	-8e-06	1.3224445e-08
1.0029563360554734e-11	0.10429379	0.0004180528	-0.6497739	-0.6508143	-8e-06	1.32244535e-08
2.0031629869877337e-11	0.104294345	0.00048820034	-0.6497434	-0.6507834	-8e-06	1.3224523e-08
3.0013964334609436e-11	0.10429446	0.0005560618	-0.6496942	-0.65073407	-8e-06	1.3224537e-08
4.004221276761794e-11	0.10429447	0.00062150485	-0.6496272	-0.6506665	-8e-06	1.3224538e-08
5.001749548692949e-11	0.10429485	0.0006841669	-0.64954346	-0.6505822	-8e-06	1.3224587e-08
6.00463322727643e-11	0.104295716	0.00074456056	-0.6494431	-0.6504811	-8e-06	1.3224697e-08
7.001875067772808e-11	0.104297146	0.00080131507	-0.6493281	-0.65036523	-8e-06	1.3224878e-08
8.004211972271895e-11	0.10429897	0.0008543608	-0.6491985	-0.65023464	-8e-06	1.322511e-08
9.001257795465878e-11	0.10430096	0.00090301473	-0.64905643	-0.6500915	-8e-06	1.3225362e-08
1.0003059054867909e-10	0.10430293	0.0009477625	-0.6489017	-0.64993566	-8e-06	1.3225612e-08
1.1004600586283318e-10	0.10430494	0.0009883877	-0.64873654	-0.64976907	-8e-06	1.32258675e-08
1.2001008882305064e-10	0.10430718	0.0010244944	-0.64856255	-0.6495938	-8e-06	1.3226151e-08
1.3002659640951883e-10	0.10430983	0.001056348	-0.64837945	-0.6494093	-8e-06	1.3226485e-08
1.4003914539460688e-10	0.104312934	0.0010834216	-0.6481894	-0.6492178	-8e-06	1.322688e-08
1.5005201269653453e-10	0.10431627	0.0011055567	-0.6479938	-0.64902055	-8e-06	1.3227303e-08
1.600131713991479e-10	0.104319565	0.0011226865	-0.647795	-0.64882016	-8e-06	1.3227721e-08
1.7002796423447812e-10	0.1043228	0.0011351528	-0.64759207	-0.6486156	-8e-06	1.32281315e-08
1.8004337444902618e-10	0.10432614	0.0011429696	-0.6473873	-0.64840925	-8e-06	1.3228554e-08
